title,alcohol,volume,savings,%,price,link
Ballantine's Finest Blended Malt Scotch Whisky,40.00%,1140 mL ,,$40.65,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207662
The Balvenie Caribbean Cask 14YO Scotch Whisky,43.00%,750 mL ,,$137.05,,http://www.lcbo.com/lcbo/product/the-balvenie-caribbean-cask-14yo-scotch-whisky/221200
Seagram's 83 Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/seagram-s-83-whisky/192922
Jack Daniel's Tennessee Whiskey,40.00%,200 mL ,,$10.00,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215624
Teacher's Highland Cream Scotch Whisky,40.00%,1140 mL ,,$40.60,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/205401
J & B Rare Scotch Whisky,40.00%,750 mL ,,$28.20,,http://www.lcbo.com/lcbo/product/j-b-rare-scotch-whisky/2360
Dewar's White Label Scotch Whisky,40.00%,750 mL ,,$27.00,,http://www.lcbo.com/lcbo/product/dewar-s-white-label-scotch-whisky/11130
J.P. Wiser's 18 Year Old Canadian Whisky,40.00%,750 mL ,,$79.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-18-year-old-canadian-whisky/207639
The Famous Grouse Scotch Whisky,40.00%,750 mL ,,$30.65,,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/52050
Grant's Family Reserve Scotch Whisky,40.00%,750 mL ,,$28.40,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/31112
Jim Beam White Label Bourbon,40.00%,750 mL ,,$28.40,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/21378
Glenfiddich Single Malt 12 Year Old Scotch Whisky,40.00%,750 mL ,,$59.25,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-year-old-scotch-whisky/12385
Forty Creek Barrel Select Whisky,40.00%,375 mL ,,$15.95,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/47290
Johnnie Walker Black Label 12 Year Old Scotch Whisky,40.00%,750 mL ,,$56.35,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-12-year-old-scotch-whisky/7880
Seagrams V.O. Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/307
Crown Royal Whisky,40.00%,750 mL ,,$29.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/1487
The Glenlivet 12 Years Old Single Malt Scotch Whisky,40.00%,750 mL ,,$59.25,,http://www.lcbo.com/lcbo/product/the-glenlivet-12-years-old-single-malt-scotch-whisky/21097
Wiser's Special Blend Whisky,40.00%,375 mL ,,$14.95,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/3517
Royal Reserve Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/royal-reserve-whisky/992
Walker's Special Old Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky/281
Canadian Mist Whisky,40.00%,750 mL ,,$27.40,,http://www.lcbo.com/lcbo/product/canadian-mist-whisky/10074
Ballantine's Blended Scotch Whisky,40.00%,750 mL ,,$28.40,,http://www.lcbo.com/lcbo/product/ballantine-s-blended-scotch-whisky/1610
Wiser's Special Blend Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/1222
Forty Creek Barrel Select Whisky,40.00%,1750 mL ,,$61.00,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/8805
Laphroaig 10 Year Old Islay Single Malt,43.00%,750 mL ,,$86.00,,http://www.lcbo.com/lcbo/product/laphroaig-10-year-old-islay-single-malt/248997
Alberta Premium Whisky,40.00%,375 mL ,,$14.95,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/3871
Chivas Regal 12 Year Old Scotch Whisky,40.00%,1750 mL ,,$107.20,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/217778
Ballantine's Finest Blended Malt Scotch Whisky,40.00%,1750 mL ,,$60.85,,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207670
Chivas Regal 12 Year Old Scotch Whisky,40.00%,1140 mL ,,$75.30,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/207647
Whyte & Mackay Special Blend Scotch Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/whyte-mackay-special-blend-scotch-whisky/195834
Forty Creek Double Barrel Reserve Whisky,40.00%,750 mL ,,$59.95,,http://www.lcbo.com/lcbo/product/forty-creek-double-barrel-reserve-whisky/94771
White Owl Whisky,39.60%,750 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/white-owl-whisky/194878
The Famous Grouse Scotch Whisky,40.00%,1140 mL ,,$45.95,,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/211334
Auchentoshan 12 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,$60.25,,http://www.lcbo.com/lcbo/product/auchentoshan-12-year-old-single-malt-scotch-whisky/107359
Forty Creek Confederation Oak Reserve Whisky,40.50%,750 mL ,,$69.95,,http://www.lcbo.com/lcbo/product/forty-creek-confederation-oak-reserve-whisky/195651
Royal Reserve Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/royal-reserve-whisky/95968
Canadian Club Premium (PET),40.00%,750 mL ,,$27.95,,http://www.lcbo.com/lcbo/product/canadian-club-premium-pet/103341
J.P. Wiser's Deluxe Whisky,40.00%,750 mL ,,$28.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/893
Silk Tassel Canadian Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/silk-tassel-canadian-whisky/620
Crown Royal Whisky,40.00%,375 mL ,,$16.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/9043
Canadian Club Whisky,40.00%,750 mL ,,$27.95,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/42
Johnnie Walker Red Label Scotch Whisky,40.00%,375 mL ,,$18.55,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/3467
Grant's Sherry Cask Reserve Scotch Whisky,40.00%,750 mL ,,$33.45,,http://www.lcbo.com/lcbo/product/grant-s-sherry-cask-reserve-scotch-whisky/15354
Walker's Special Old Whisky,40.00%,375 mL ,,$14.95,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky/687
Teacher's Highland Cream Scotch Whisky,40.00%,750 mL ,,$27.00,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/4465
Centennial 10 Year Old Limited Edition Rye,40.00%,750 mL ,,$27.85,,http://www.lcbo.com/lcbo/product/centennial-10-year-old-limited-edition-rye/387209
The Glenlivet French Oak Reserve 15 Year Old Scotch Whisky,40.00%,750 mL ,,$88.40,,http://www.lcbo.com/lcbo/product/the-glenlivet-french-oak-reserve-15-year-old-scotch-whisky/603050
Canadian Club Whisky,40.00%,3000 mL ,,$133.95,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/288563
Jack Daniel's Tennessee Whiskey,40.00%,375 mL ,,$18.10,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/119743
