title,alcohol,volume,savings,Savings,price,link,
J.P. Wiser's Deluxe Whisky,40.00%,1140 mL ,,,$41.45,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/216689,
Walker's Special Old Whisky (PET),40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky-pet/226316,
Glenfiddich 15 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$79.95,http://www.lcbo.com/lcbo/product/glenfiddich-15-year-old-single-malt-scotch-whisky/605972,
Crown Royal Black,45.00%,750 mL ,,,$33.95,http://www.lcbo.com/lcbo/product/crown-royal-black/224352,
Ballantine's Finest Blended Malt Scotch Whisky,40.00%,1140 mL ,,,$40.65,http://www.lcbo.com/lcbo/product/ballantine-s-finest-blended-malt-scotch-whisky/207662,
The Balvenie Caribbean Cask 14 Year Old Scotch Whisky,43.00%,750 mL ,,,$137.05,http://www.lcbo.com/lcbo/product/the-balvenie-caribbean-cask-14-year-old-scotch-whisky/221200,
Four Roses Bourbon,40.00%,750 mL ,,,$31.20,http://www.lcbo.com/lcbo/product/four-roses-bourbon/256222,
Alberta Premium Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/216226,
Jack Daniel's Tennessee Whiskey,40.00%,200 mL ,,,$9.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215624,
Alberta Springs Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/216234,
Seagrams 83 Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/seagrams-83-whisky/192922,
Teacher's Highland Cream Scotch Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/205401,
J.P. Wiser's 18 Year Old Canadian Whisky,40.00%,750 mL ,,,$79.95,http://www.lcbo.com/lcbo/product/jp-wiser-s-18-year-old-canadian-whisky/207639,
Catto's Rare Old,40.00%,1140 mL ,,,$41.25,http://www.lcbo.com/lcbo/product/catto-s-rare-old/215558,
J & B Rare Scotch Whisky,40.00%,1140 mL ,,,$40.95,http://www.lcbo.com/lcbo/product/j-b-rare-scotch-whisky/217646,
Knob Creek Single Barrel,60.00%,750 mL ,,,$59.15,http://www.lcbo.com/lcbo/product/knob-creek-single-barrel/255232,
Jim Beam White Label Bourbon,40.00%,1140 mL ,,,$42.35,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/217786,
Canadian Club Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/canadian-club-whisky/217687,
Wisers Special Blend Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/wisers-special-blend-whisky/216671,
Jack Daniel's Tennessee Whiskey,40.00%,1140 mL ,,,$46.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215616,
Seagrams V.O. Whisky,40.00%,1140 mL ,,,$40.10,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/216978,
Collingwood,40.00%,750 mL ,,,$36.75,http://www.lcbo.com/lcbo/product/collingwood/244186,
Walker's Special Old Whisky (PET),40.00%,1750 mL ,,,$60.00,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky-pet/209205,
Canadian Club Whisky,40.00%,3000 mL ,,,$133.95,http://www.lcbo.com/lcbo/product/canadian-club-whisky/288563,
