title,alcohol,volume,sale,savings,price,inventory,link
Centennial 10 Year Old Limited Edition Rye,40.0%,750 mL ,On sale!,$1.00,$26.45,,http://www.lcbo.com/lcbo/product/centennial-10-year-old-limited-edition-rye/387209
Crown Royal Special Reserve,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/crown-royal-special-reserve/321208
Glenfiddich Single Malt 12 Years Old Scotch Whisky,40.0%,375 mL ,,,$31.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-years-old-scotch-whisky/252312
Johnnie Walker Red Label Scotch Whisky,40.0%,1750 mL ,,,$66.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/112896
Seagrams V.O. Whisky,40.0%,1750 mL ,,,$59.05,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/31930
The Glenlivet French Oak Reserve 15 Year Old Scotch Whisky,40.0%,750 mL ,,,$89.95,,http://www.lcbo.com/lcbo/product/the-glenlivet-french-oak-reserve-15-year-old-scotch-whisky/603050
Gibson's Finest Venerable 18 Years Old Whisky,40.0%,750 mL ,,,$89.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-venerable-18-years-old-whisky/469114
Canadian Club Whisky,40.0%,200 mL ,,,$8.35,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/251371
Ballantine's Blended Scotch Whisky,40.0%,750 mL ,,,$27.95,,http://www.lcbo.com/lcbo/product/ballantine-s-blended-scotch-whisky/1610
Jack Daniel's Tennessee Whiskey,40.0%,375 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/119743
Crown Royal Whisky,40.0%,750 mL ,On sale!,$1.00,$28.45,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/1487
Jack Daniel's Tennessee Whiskey,40.0%,1750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/182931
Canadian Club Whisky,40.0%,3000 mL ,,,$132.95,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/288563
